Group,Sl_No,Name_of_Lab,State,Status,OSL_Code,Recognition_Valid_Upto,Remarks
GROUP-1,11,"Accurate Test Solutions LLP, Noida",U.P.,Priavate,8141226,04.07.2027,
GROUP-1,12,"Aadco Testing & Research Laboratory Pvt Ltd, Bulandshahar Road, Ghaziabad",U.P.,Private,8141606,26.07.2027,
GROUP-1,13,"Ace Test House Private Limited, New Delhi",Delhi,Private,8161906,26.08.2027,
GROUP-1,14,"ACE Test Labs & Metrology Private Limited, Rai, Sonipat",Haryana,Private,9162826,14.11.2027,
GROUP-1,15,"ABC Techno Labs India Pvt Ltd, Chennai",Tamilnadu,Private,6164516,04.12.2028,
GROUP-1,16,"Atharva Laboratories Pvt Ltd, Noida",U.P.,Private,8165026,23-02-2029,Suspension revoked w.e.f. 18-12-2024. Suspended w.e.f. 07.11.2024.
GROUP-1,17,"AA Electro Magnetic Test Laboratory Pvt ltd, Gurgaon",Haryana,Private,8165826,24.09.2026,
GROUP-1,18,"Ace Test Lab Private Limited, Delhi",Delhi,Private,8166826,07.01.2027,
GROUP-1,19,"AGSS Analytical and Research Lab Pvt Ltd, Delhi",Delhi,Private,8166916,13.01.2027,
GROUP-1,20,"Arihant Analytical Laboratory Pvt Ltd, Kundli, Sonepat",Haryana,Private,9167906,02.06.2027,
GROUP-1,21,"Accurate Labs, Vijayawada",A.P.,Private,6168516,03.08.2027,
GROUP-1,22,"AC Test Lab, Coterd Solotions (OPC) Pvt Limited, Greater Noida",U.P.,Private,8170806,15.07.2028,
GROUP-1,23,"Amit Test and Calibration Centre, Delhi",Delhi,Private,8172006,16.04.2029,
GROUP-1,24,"Analytical Development - R & D, EMAMI Limited, Kolkata",West Bengal,Private,5172106,03.05.2026,
GROUP-1,25,"AIC-AMTZ Medivalley Incubation Council (Medivalley laboratory), Visakhapatnam",Andhra Pradesh,Private,6172206,18.05.2026,
GROUP-1,26,"ATCC Test Labs LLP, Delhi",Delhi,Private,8172626,15.06.2026,
GROUP-1,27,"Accurate Universal Laboratories Private Limited, Ahmedabad",Gujarat,Private,7174006,19.09.2026,
GROUP-1,28,"Astute Labs Pvt Ltd, Pune",Maharashtra,Private,7174321,05.11.2026,
GROUP-1,29,"Absolute Testing Services, Faridabad",Haryana,Private,8174526,13.11.2026,
GROUP-1,30,"Application Research and Development Centre Haldia Petrochemical Limited, Kolkata",West Bengal,Private,5174906,30.11.2026,
GROUP-1,31,"Allumera Engineering Solutions Pvt Ltd, New Delhi",Delhi,Private,8175206,13.12.2026,
GROUP-1,32,"ARDM Labs Pvt Ltd, New Delh",Delhi,Private,8175706,11.01.2027,
GROUP-1,33,"Adarsh Scientific Research Center and Testing Laboratory Pvt. Ltd., Raigad",Maharashtra,Private,7175806,14.01.2027,
GROUP-1,34,"ALS Testing Services India Pvt. Ltd., Bangalore",Karnataka,Private,6175606,11.01.2027,
GROUP-1,35,"Atmy Analytical Labs Private Limited (Unit-2), Greater Noida",Uttar Pradesh,Private,8176106,08.02.2027,
GROUP-1,36,"Accuprec Research Labs. Pvt. Ltd., Ahmedabad.",Gujarat,Private,7176516,28.02.2027,
GROUP-1,37,"Advance Firetec and Research Lab Pvt Ltd., New Delhi",Delhi,Private,8176606,03.03.2027,
GROUP-1,38,"Absolute Expertise Testing Laboratory LLP, New Delhi",Delhi,Private,8176726,11.03.2027,
GROUP-1,39,"Aadco Testing & Research Laboratory Pvt Ltd (Unit-2), Ghaziabad",Uttar Pradesh,Private,8176906,19.03.2027,
GROUP-1,40,"ADS Labtech, Ghaziabad",Uttar Pradesh,Private,8178326,15.05.2027,
GROUP-1,41,"Adityapur Auto Cluster, Jharkhand",Jharkhand,Private,5178506,28.06.2027,
GROUP-1,42,"Ajeo Testing Labs Pvt. Ltd., Ghaziabad",Uttar Pradesh,Private,8178606,10.07.2027,
GROUP-1,43,"Aaditech Test and Calibration Lab LLP., Rohini",Delhi,Private,8179926,28.08.2027,
GROUP-1,44,"ALAIPURIA TEST HOUSE PRIVATE LIMITED, Ghaziabad",Uttar Pradesh,Private,8180426,03.10.2027,
GROUP-1,45,"Advance Electrical Testing And Calibration Lab LLP, Vadodara",Gujarat,Private,7182426,17.11.2027,
GROUP-1,46,"Aadit Fire Testing Laboratory Pvt Ltd, Thiruvallur",Tamil Nadu,Private,6182836,27.11.2027,
GROUP-1,47,"ABB ELSP LAB, Bengaluru",Karnataka,Private,6184126,05.03.2028,
GROUP-1,48,AANKAN CALIBRATION AND TESTING CENTRE LLP,Gujarat,Private,7184406,17.03.2028,
GROUP-1,49,"ALPHA TEST HOUSE SERVICES LLP (Unit-1), Mohali",Punjab,Private,9184906,23.04.2028,
GROUP-1,50,"AADHAR TESTING SOLUTIONS LLP, Ghaziabad",Delhi,Private,8185026,30.04.2028,
GROUP-1,51,"ALPHA TEST HOUSE PVT LTD, Bahadurgarh",Haryana,Private,8185306,06.05.2028,
GROUP-1,52,"Atckon Laboratories LLP, Bahadurgarh",Haryana,Private,8186436,17.06.2028,
GROUP-1,53,"Akshat Test Lab & Calibration Services, Ghaziabad",UP,Private,8186526,19.06.2028,
GROUP-1,54,"ACE Test House Pvt Ltd, New Delhi",Delhi,Private,8187926,07.09.2028,
GROUP-1,55,"Accumetrix Testing Solutions Pvt. Ltd., Hoshiarpur",Punjab,Private,9188436,18.09.2028,Suspension revoked w.e.f. 18-08-2026. (Present status operative) Suspended w.e.f. 16.07.2026
GROUP-1,56,"ABB Global Industries and Services Pvt. Ltd. - Low voltage breakers and switches testing laboratory, Hyderabad",Telangana,Private,6189726,06.11.2028,Suspended w.e.f. 30.04.2026
GROUP-1,57,"ARYAVRAT TEST HOUSE PRIVATE LIMITED, Howrah",West Bengal,Private,5191706,27.11.2028,
GROUP-1,58,"ACCURATE TEST SOLUTIONS LLP, Noida",Uttar Pradesh,Private,8192806,07.12.2028,
GROUP-1,59,"AADIDEV TEST & RESEARCH CENTRE LLP, North West Delhi",Delhi,Private,8194926,23.12.2028,
GROUP-1,60,Agro Tech Aromatics Pvt Ltd,Jammu & Kashmir,Private,9198106,09.04.2029,
GROUP-1,61,"Alpit Metal Works Laboratory, Aurangabad",Maharashtra,Private,7198436,06.07.2029,
GROUP-1,62,AUMNAMAH RADIOANALYTICAL LABORATORY LLP,Delhi,Private,8198616,20.07.2029,
GROUP-1,63,"AADISHAKTI TESTING &RESEARCH LABORATORIES LLP, Sonipat",Haryana,Private,9198806,06.08.2029,
GROUP-1,64,"Bureau Veritas India Testing Services Private Ltd, Hyderabad",Telangana,Private,6108116,31.03.2027,Suspension revoked w.e.f. 10-08-2026. (Present status operative) Suspended w.e.f. 27.02.2026 Suspension revoked w.e.f. 06-11-2020. (Present status operative) Suspended w.e.f. 14.02.2020
GROUP-1,65,"Bureau Veritas (India) Private Ltd., Chennai",Tamilnadu,Private,6108016,31.07.2026,Suspension revoked w.e.f. 29-11-2018 (Present status operative) Suspended w.e.f. 13-04-2018.
GROUP-1,66,"Bureau Veritas Consumer Products Services(I) P. Ltd, NOIDA",U.P.,Private,8127706,31.12.2026,
GROUP-1,67,"Bharat Test House Pvt Ltd, Rai, Sonepat",Haryana,Private,9135626,19.03.2029,Suspension revoked w.e.f. 28-11-2025.. (Present status operative) SUSPENDED W.E.F. 21-11-2025. Suspension revoked w.e.f. 14-01-2020.. (Present status operative) SUSPENDED W.E.F. 27-08-2019. Suspension revoked w.e.f. 04.05.2018. (Present status operative) Suspended w.e.f. 22.03.2018
GROUP-1,68,"Bharat Test House Pvt Ltd, 781, HSIIC, Rai, Sonepat",Haryana,Private,9137826,31.12.2026,Suspension revoked w.e.f. 14-01-2020.. (Present status operative) SUSPENDED W.E.F. 27-08-2019. Suspension revoked w.e.f. 04.07..2018. (Present status operative) Suspended w.e.f. 22.03.2018
GROUP-1,69,"Bee Pharmo Labs Pvt Ltd, Thane",Maharashtra,Private,7139416,15.03.2027,
GROUP-1,70,"Bharti Automation Pvt Ltd (A Testing Division), Gurgaon",Haryana,Private,8141726,05.08.2027,
GROUP-1,71,"Bharat Test House Pvt Ltd, Sonepat",Haryana,Private,9168306,26.07.2027,
GROUP-1,72,"Bahadurgarh Footwear Development Services Pvt Ltd, Bahadurgarh",Haryana,Private,8168806,02.09.2027,
GROUP-1,73,"Bluesky Lab LLP, Ghaziabad",U.P.,Private,8170306,22.05.2028,
GROUP-1,74,"Bangalore Analytical Research Center (P) Ltd., Bangalore",Karnataka,Private,6174606,14.11.2026,
GROUP-1,75,"Baroda Calibration Services LLP, Vadodara",Gujarat,Private,7175421,21.12.2026,
GROUP-1,76,"BISS Labs-Division of ITW India Private Limited, Bangalore",Karnataka,Private,6175936,10.01.2027,
GROUP-1,77,"BCH Electric Limited, Faridabad",Haryana,Private,8186026,04.06.2028,
GROUP-1,78,"BUNITECH METALLURGICAL SERVICES PRIVATE LIMITED, Ahmadabad",Gujarat,Private,7188906,26.10.2028,
GROUP-1,79,"Byte Scientific Research Lab Private Limited, Faridabad",Haryana,Private,8189436,27.10.2028,
GROUP-1,80,"Basil Quality Testing lab Private Limited, Gurugram",Haryana,Private,8195736,07.01.2029,.
GROUP-1,81,"Cali-labs Pvt Ltd, Bhopal",M.P.,Private,8118116,31.05.2027,Suspension revoked w.e.f. 06.04..2022. (Present status operative) SUSPENDED W.E.F. 18-01-2022
GROUP-1,82,"CEG Test House & Research Centre, Jaipur",Rajasthan,Private,8119706,31.12.2026,
GROUP-1,83,"Central Electrical Testing Laboratory, Kakkalur",Tamilnadu,Govt,6104524,31.12.2026,
GROUP-1,84,"Central Institute of Plastics Engineering & Technology, Ahmedabad",Gujarat,Govt,7116134,31.12.2027,
GROUP-1,85,"CIPET: Centre for Skilling and Technical Support (CSTS), Amritsar",Punjab,Govt.,9120034,06.01.2027,Suspension revoked w.e.f. 15.12..2023. (Present status operative) Suspended w.e.f. 08.12.2023
GROUP-1,86,"Central Institute of Plastics Engineering & Technology, Aurangabad",Maharashtra,Govt.,7123534,31.12.2026,
GROUP-1,87,"Central Institute of Plastics Engineering & Technology, Bhopal",M.P.,Govt.,8100534,31.12.2026,Suspended w.e.f. 21.07.2026
GROUP-1,88,"Central Institute of Plastics Engineering & Technology, Bhubaneswar",Orissa,Govt.,5102634,31.12.2026,Suspension revoked w.e.f. 20.09..2024. (Present status operative) SUSPENDED W.E.F. 06-09-2024
GROUP-1,89,"Central Institute of Plastics Engineering & Technology, Chennai",Tamilnadu,Govt.,6104634,31.03.2027,
GROUP-1,90,"Central Institute of Plastics Engineering & Technology, Guwahati",Assam,Govt.,5117534,31.12.2026,
GROUP-1,91,"Central Institute of Plastics Engineering & Technology, Hajipur",Bihar,Govt.,5118334,07.10.2028,Suspension revoked w.e.f. 25-08-2025. (Present status operative) Suspended w.e.f. 02.05.2025
GROUP-1,92,"Central Institute of Plastics Engineering & Technology, Haldia",W.B.,Govt.,5116334,14.12.2027,
GROUP-1,93,"Central Institute of Plastics Engineering & Technology, Hyderabad",A.P.,Govt.,6111634,23.02.2027,
GROUP-1,94,"Central Institute of Plastics Engineering & Technology, Jaipur",Rajasthan,Govt.,8122834,21.02.2029,Suspension revoked w.e.f. 13-01-2025. Suspended w.e.f. 24.10.2025
GROUP-1,95,"Central Institute of Petrochemicals Engineering & Technology, Lucknow",U.P.,Govt.,9102534,31.12.2026,
GROUP-1,96,"Central Institute of Plastics Engineering & Technology, Mysore",Karnataka,Govt.,6113734,31.12.2026,
GROUP-1,97,"Central Institute of Plastics Engineering & Technology, Murthal, Panipat",Haryana,Govt.,9121934,09.08.2028,
GROUP-1,98,"Central Institute of Road Transport, Pune",Maharashtra,Govt.,7105101,15.09.2028,
GROUP-1,99,"Chennai Mettex Lab Pvt. Ltd, Chennai",Tamilnadu,Private,6120236,02.02.2027,
GROUP-1,100,"CPRI, Bangalore",Karnataka,Govt.,6101024,31.12.2026,
GROUP-1,101,"CPRI, Bhopal",M.P.,Govt.,8100924,30.06.2027,
GROUP-1,102,"CSA India Pvt Ltd, Bangalore",Karnatka,Private,6131326,08.06.2027,
GROUP-1,103,"CVR Labs (P) Limited, Chennai",Tamilnadu,Private,6133516,05-04-2028,Suspension revoked w.e.f. 10-08-2026. (Present status operative) Suspended w.e.f. 09- 02-2026 Suspension revoked w.e.f. 05-08-2019. (Present status operative) Suspended w.e.f. 20.05.2019.
GROUP-1,104,"Conformity Testing labs Pvt Ltd, New Delhi",Delhi,Private,8134626,19-09-2028,
GROUP-1,105,"Classic Instrumentation Pvt Ltd, Noida",U.P.,Private,8135126,23.10.2028,Suspension revoked w.e.f. 20-07-2018. (Present status operative) Suspended w.e.f. 25.05.2018.
GROUP-1,106,NDDB CALF LIMITED,Gujarat,Govt,7136414,31.12.2026,
GROUP-1,107,"Choksi Laboratories Ltd, Indore",M.P.,Private,8136916,31.12.2026,Suspension revoked w.e.f. 25.05.2021 (Present status operative) Suspended w.e.f. 09- 12-2020. Validity extended upto 31-12-2020 due to COVID-19 situation
GROUP-1,108,"C&I Calibration Pvt Ltd, Jaipur",Rajasth an,Private,8137526,17.07.2026,Suspension revoked w.e.f. 19-10-2023. SUSPENDED w.e.f. 10-08-2023. Suspension revoked w.e.f. 22-02-2023. SUSPENDED w.e.f. 24-01-2023.
GROUP-1,109,"Centre for Bio-Polymer Science & Technology, A Unit of CIPET, Kochi",Kerala,Govt,6137634,31.12.2026,
GROUP-1,110,"Central Electronics Centre, Indian Institute of Technology, Chennai",Tamilnadu,Govt,6138124,31.12.2026,Validity extended upto 31-12-2020 due to COVID-19 situation
GROUP-1,111,"CQA(V) Laboratory, Ahmednagar",Maharashtra,Govt,7138534,31.12.2023,SUSPENDED W.E.F. 06-09-2024 Suspension revoked w.e.f. 16-11-2022. SUSPENDED W.E.F. 23-09-2021.
GROUP-1,112,"Conformity Testing Labs Pvt Ltd, New Delhi",Delhi,Private,8139626,05.04.2027,
GROUP-1,113,"Central Institute of Plastics Engineering & Technology, Madurai",Tamilnadu,Govt,6139834,22.05.2027,
GROUP-1,114,"Central Institute of Plastics Engineering & Technology, Vijayawada",A.P.,Govt,6141334,06.06.2027,Suspension revoked w.e.f. 11-12-2019 (Present status operative) SUSPENDED W.E.F. 13-09-2019.
GROUP-1,115,"CSIR-Central Electro-chemical Research Institute, Karaikudi",Tamilnadu,Govt,6162524,24.09.2027,
GROUP-1,116,"Central institute of Petrochemicals Engineering & Technology (CIPET), Raipur",Chhattisgarh,Govt,5163604,25.04.2028,
GROUP-1,117,"Cosmo Analytical Lab, Noida",U.P.,Private,8167006,13.01.2027,
GROUP-1,118,CLRI-CATERS,Tamilnadu,Govt,6167704,02.05.2027,Suspension revoked w.e.f. 27-12-2024. (Present status operative) Suspended w.e.f 21.10.2024
GROUP-1,119,"Chem-Tech Laboratories Private Limited, Pune",Maharashtra,Private,7170010,07.04.2028,
GROUP-1,120,"Customer Services & Development Centre, HPCL-Mittal Energy Limited, Noida",U.P.,Private,8171106,28.07.2028,
GROUP-1,121,"CIPET:CSTS-Agartala Plastics Testing Laboratory, Agartala",Tripura,Govt,5173304,20.07.2026,
GROUP-1,122,"Central Institute of Petrochemicals Engineering & Technology, Ranchi",Jharkhand,Govt,5173614,09.08.2026,
GROUP-1,123,"Central Institute of Petrochemicals Engineering & Technology, Chandrapur",Maharashtra,Govt,7173804,10.09.2026,
GROUP-1,124,"Cotton Association of India Cotton Testing & Research Laboratory, Mumbai",Maharashtra,Govt.,7174706,20.11.2026,
GROUP-1,125,"Central Power Research Institute, Noida",Uttar Pradesh,Govt,8177224,25.03.2027,
GROUP-1,126,"Central Institute of Petrochemicals Engineering & Technology, Dehradun",Uttarakhand,Govt,9178004,24.04.2027,
GROUP-1,127,"Cotton Association of India, Cotton Testing and Research laboratory, Amhedabad",Gujarat,Private,7178936,10.07.2025,
GROUP-1,128,"Cotton Association of India, Cotton Testing and Research laboratory, Khargone",MP,Private,8180036,29.08.2025,
GROUP-1,129,"Criterion Network Labs, Criterion Networks India Private Limited, Bengaluru",Karnataka,Private,6180226,16.09.2027,
GROUP-1,130,"CTL Testing Laboratory Pvt. Ltd. , Jaipur",Rajasthan,Private,8180306,24.09.2027,
GROUP-1,131,"Classic Testing & Research Centre, Noida",Uttar Pradesh,Private,8180826,15.10.2027,
GROUP-1,132,"COTTON ASSOCIATION OF INDIA, COTTON TESTING AND RESEARCH LABORATORY, BATHINDA",Punjab,Private,9182336,11-11-2025,
GROUP-1,133,"COCHIN TEST HOUSE, KOCHI",Kerala,Private,6183816,03.02.2028,
GROUP-1,134,"COTTON ASSOCIATION OF INDIA, COTTON TESTING AND RESEARCH LABORATORY, RAJKOT",Gujarat,Private,7186336,22.06.2026,
GROUP-1,135,"CEPT Advisory Foundation, Ahmadabad",Gujarat,Private,7186736,08.07.2028,
GROUP-1,136,"CIMEC Infralabs Private Limited, Ghaziabad",Uttar Pradesh,Private,8195606,07.01.2029,
GROUP-1,137,"COTTON ASSOCIATION OF INDIA, COTTON TESTING AND RESEARCH LABORATORY, JALGAON",Maharashtra,Private,7195836,12.01.2027,
GROUP-1,138,"Delhi Test House, Kudli (Sonepat)",Haryana,Private,9127026,23.06.2028,Suspension revoked w.e.f. 26-05-2015 (Present status operative) Suspended w.e.f. 14 May 2015.
GROUP-1,139,"Delhi Test House, Azadpur, Delhi",Delhi,Private,8131406,17.06.2027,Suspension revoked w.e.f. 18-11-2019. (Present status operative) SUSPENDED W.E.F. 28-08-2019.
GROUP-1,140,"Delhi Test House-2, Kundli, Sonepat",Haryana,Private,9138006,31.12.2026,Suspension revoked w.e.f. 11-07-2023. (Present status operative) Suspended w.e.f. 14-06-2023. Suspension revoked w.e.f. 15-10-2019. (Present status operative) Suspended w.e.f. 19-07-2019.
GROUP-1,141,"Darshan Electrical Testing and Research Laboratory, Rajkot",Gujarat,Private,7165436,09.08.2026,
GROUP-1,142,"Delhi Analytical Research Laboratory, Delhi",Delhi,Private,8169106,26.10.2027,
GROUP-1,143,"Delta Testing and Research Laboratories Private Limited, Delhi",Delhi,Private,9179506,21.08.2027,
GROUP-1,144,"Delta Testing and Research Laboratories Private Limited (Unit II), North West",Delhi,Private,8186836,23.07.2028,
GROUP-1,145,"DVG Laboratories & Consultants Pvt Ltd, Noida",Uttar Pradesh,Private,8193306,09.12.2028,
GROUP-1,146,"DYNAMIC TEST LABORATORIES LLP, Sonipat",Haryana,Private,9197626,15.03.2029,
GROUP-1,147,"D.Banerjee Centre of Excellence (DBCOE), Mysuru",Karnataka,Private,6198536,07.07.2029,
GROUP-1,148,"Edward Food Research and Analysis Centre Limited (efrac) , Kolkata",W.B.,Private,5127516,07.10.2028,
GROUP-1,149,"Electronics and Quality Development Centre, Gandhinagar",Gujarat,Govt.,7118234,09.10.2027,Suspension revoked w.e.f. 27-12-2024. (Present status operative) SUSPENDED W.E.F. 06-09-2024
GROUP-1,150,"Envirocare Labs (P) Ltd., Thane",Maharashtra,Private,7120616,25.05.2027,
GROUP-1,151,"Environmental Laboratory (Unit of Mineral Engineering Services LLP), Bangalore",Karnataka,Private,6130616,20.04.2027,
GROUP-1,152,"ERDA, Vadodara",Gujarat,Private,7101125,30.11.2028,
GROUP-1,153,"ERTL (E), Kolkata",W.B.,Govt.,5109624,19.04.2027,
GROUP-1,154,"ERTL (N), Delhi",Delhi,Govt.,8101924,31.12.2026,
GROUP-1,155,"ERTL (W), Mumbai",Maharashtra,Govt.,7108424,31.12.2026,
GROUP-1,156,"ETDC, Bangalore",Karnataka,Govt.,6117624,31.12.2026,
GROUP-1,157,"ETDC, Chennai",Tamilnadu,Govt.,6101724,06.07.2021,DEFERRED W.E.F. 08-10-2021.
GROUP-1,158,"Vimta Labs Limited, Hyderabad",Telangana,Private,6132436,25.10.2027,
GROUP-1,159,"Electrical Research & Development Association, Rabale, Navi Mumbai",Maharashtra,Private,7132925,22.12.2027,Suspension revoked w.e.f. 30-09-2025. Present status operative. Suspended W.E.F 30.04.2025
GROUP-1,160,"Eurofins Analytical Services India Pvt Limited, Bangalore",Karnataka,Private,6133416,14.03.2028,
GROUP-1,161,"Excel Surveyors Pvt Ltd, Kolkata",W.B.,Private,5135906,31.12..2026,Suspension revoked w.e.f. 06-08-2024. Present status operative. Suspended w.e.f. 16.07.2024
GROUP-1,162,"ELMEF Testing & Calibration Laboratories Pvt Ltd, Indore",M.P.,Private,8138926,03.01.2027,
GROUP-1,163,"Electrical Research and Testing Organisation, Vadodara",Gujarat,Private,7140126,10.06.2027,Suspension revoked w.e.f. 28-05-2025. Present status operative. Suspended W.E.F 30.04.2025
GROUP-1,164,"Eskaps (India) Private Limited, Kolkata",W.B.,Private,5141106,08.07.2027,Suspension revoked w.e.f. 13-12-2019. Present status operative. Suspended w.e.f. 26 July 2019
GROUP-1,165,"EMC Testing and Compliance LLP, Gurugram",Haryana,Private,8141526,19.07.2027,Suspension revoked w.e.f. 20-01-2021. Present status operative. SUSPENDED W.E.F. 08-12-2020.
GROUP-1,166,"EKO PRO Engineers Pvt Ltd, Ghaziabad",U.P.,Private,8164006,27.05.2028,Suspension revoked w.e.f. 19-02-2025. Present status operative. SUSPENDED W.E.F. 30-01-2025.
GROUP-1,167,"ELCA Laboratories, Navi Mumabi",Maharashtra,Private,7169736,02.02.2028,
GROUP-1,168,"Eureka Analytical Services Pvt Ltd, Bangalore",Karnataka,Private,6171206,02.08.2028,
GROUP-1,169,"EAMP Laboratories LLP, Palghar",Maharashtra,Private,7171526,13.09.2025,
GROUP-1,170,"Enviro Remediation & Research Laboratory LLP, Thane",Maharashtra,Private,7171806,13.11.2028,
GROUP-1,171,"Electrical Power Research Laboratory, Vadodara",Gujarat,Private,7175321,19.12.2026,
GROUP-1,172,"Elutech Laboratory and Colibration Services, Jaipur",Rajasthan,Private,9179806,26.08.2027,
GROUP-1,173,Eko Pro Engineers Pvt. Ltd. Ghaziabad,Uttar Pradesh,Private,9179706,26.08.2027,
GROUP-1,174,"Elenergy Lab Research Pvt. Ltd., Bengaluru",Karnataka,Private,6185426,07.05.2028,
GROUP-1,175,Eminent International Testing Center Pvt Ltd. Isnapur,Telangana,Private,6190736,12.11.2028,
GROUP-1,176,"Electronic Safety Test Laboratory, EMC Division, SAMEER-Centre for Microwave Research, Navi Mumbai",Maharashtra,Govt.,7192524,03.12.2028,
GROUP-1,177,"ELECTROEDGE LABORATORY LLP, North Delhi",Delhi,Private,8197426,11.03.2029,
GROUP-1,178,"EMC EMI TESTING LAB- HLL LIFECARE LIMITED, Noida",Uttar Pradesh,Private,8198324,02.07.2029,
GROUP-1,179,"Eco Paryavaran Laboratories and Consultants Pvt. Ltd., Mohali",Punjab,Private,9198906,10.08.2029,
GROUP-1,180,"Dashmesh Test Lab Private Limited, Faridabad",Haryana,Private,8186926,15.07.2028,Suspension revoked w.e.f. 30-03-2026. Present status operative. Suspended w.e.f. 10- 02-2026
GROUP-1,181,"FCRI, Palakkad",Kerala,Govt.,6114324,06.12.2028,
GROUP-1,182,"FDDI, Noida",U.P.,Govt.,8112814,31.05.2028,Suspension revoked w.e.f. 19-1-2016. Present status operative. Suspended w.e.f. 30- 10-2015
GROUP-1,183,"FICCI Research & Analysis Centre, New Delhi",Delhi,Private,8131215,08.06.2027,
GROUP-1,184,"Fire Test and Research Laboratory, Sonepat",Haryana,Private,8123835,31.12.2026,Suspension revoked w.e.f. 15-07-20 (Present status operative) Suspended w.e.f. 02- 01-2020. Suspension revoked w.e.f. 10-04-2019 (Present status operative) Suspended w.e.f. 04- 04-2019
GROUP-1,185,"FHHL Private Limited, Pune",Maharashtra,Private,7124016,31.12.2026,Suspension revoked w.e.f. 18-04-2019 (Present status operative) Suspended w.e.f. 01- 03-2019.
GROUP-1,186,"Fare labs Pvt ltd, Gurgaon",Haryana,Private,8135716,09.03.2029,
GROUP-1,187,"Fare labs Pvt ltd, Gurgaon",Haryana,Private,8166516,25.11.2026,
GROUP-1,188,"EKO PRO ENGINEERS PVT LTD, Ghaziabad",Uttar Pradesh,Private,8188216,16.09.2028,
GROUP-1,189,"GEO-Chem, Mumbai",Maharashtra,Private,7115716,31.12.2026,Suspension revoked w.e.f. 20-07-2023 (Present status operative) Suspended w.e.f. 08.06.2023 Suspension revoked w.e.f. 16-10-2015 (Present status operative) Suspended w.e.f. 04 Aug 2015
GROUP-1,190,Ghaziabad Testing Laboratories Pvt Ltd Ghaziabad,U.P.,Private,8125006,30.09.2027,Suspension revoked w.e.f. 27-07-2023 (Present status operative) Suspended w.e.f. 17- 08-2022. Suspension revoked w.e.f. 01-10-2015 Suspended w.e.f. 30 April 2015.
GROUP-1,191,"Gujarat Test House, Ahmedabad",Gujarat,Private,7109836,15.07.2027,Suspension revoked w.e.f. 08-05-2024. Suspended w.e.f. 19.09.2023.
GROUP-1,192,"Gujarat Testlab Private Limited, Ahmedabad",Gujarat,Private,7137016,31.12.2026,
GROUP-1,193,"Granite River Labs India Services Private Limited, Bengaluru",Karnataka,Private,6180326,30.09.2027,
GROUP-1,194,"Cotecna Inspection India Private Limited, Gurugram",Haryana,Private,8166106,28.10.2026,Suspension revoked w.e.f. 23-05-2025. Suspended w.e.f. 24.03.2025.
