Section,ID,Category,Question,Answer,Field_Name,Item_No,Field_Value
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",name,2,Study requirements
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",description,2,Understand product requirements and applicable BIS technical documentation.
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",step,3,3
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",name,3,Prepare manufacturing infrastructure
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",description,3,Ensure that the required manufacturing infrastructure is available.
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",step,4,4
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",name,4,Prepare process controls
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",description,4,Establish appropriate process controls for manufacturing.
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",step,5,5
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",name,5,Prepare quality and testing capabilities
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",description,5,Establish required quality-control and testing capabilities.
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",step,6,6
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",name,6,Submit application
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",description,6,Submit the application online through Manakonline.
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",step,7,7
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",name,7,BIS assessment
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",description,7,"BIS assesses manufacturing infrastructure, process controls, quality-control and testing capabilities."
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",step,8,8
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",name,8,Product conformity testing
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",description,8,Product conformity is established through applicable laboratory or manufacturing-premises testing.
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",step,9,9
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",name,9,Licence decision
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",description,9,BIS takes a decision on grant of the licence after the applicable requirements are satisfied.
licensing_information,BIS-LIC-003,Certification Process,What are the steps for BIS certification?,"The BIS product certification process generally involves identification of the applicable Indian Standard, preparation of manufacturing and testing capabilities, submission of an online application,...",official_source,1,https://www.bis.gov.in/product- certification/product-certification- process/?lang=en
licensing_information,BIS-LIC-004,Testing,What testing is required for BIS certification?,"Testing requirements depend on the applicable Indian Standard and product. Product conformity may be established through third-party laboratory testing, testing at the manufacturing premises, or...",testing_types,1,Third-party laboratory testing
licensing_information,BIS-LIC-004,Testing,What testing is required for BIS certification?,"Testing requirements depend on the applicable Indian Standard and product. Product conformity may be established through third-party laboratory testing, testing at the manufacturing premises, or...",testing_types,2,Testing at manufacturing premises
licensing_information,BIS-LIC-004,Testing,What testing is required for BIS certification?,"Testing requirements depend on the applicable Indian Standard and product. Product conformity may be established through third-party laboratory testing, testing at the manufacturing premises, or...",testing_types,3,Combination of laboratory and manufacturing- premises testing
licensing_information,BIS-LIC-004,Testing,What testing is required for BIS certification?,"Testing requirements depend on the applicable Indian Standard and product. Product conformity may be established through third-party laboratory testing, testing at the manufacturing premises, or...",important_note,1,"The exact tests, test methods, sampling requirements and acceptance criteria are product- specific."
licensing_information,BIS-LIC-004,Testing,What testing is required for BIS certification?,"Testing requirements depend on the applicable Indian Standard and product. Product conformity may be established through third-party laboratory testing, testing at the manufacturing premises, or...",official_source,1,https://www.bis.gov.in/apply-for-a- license/?lang=en
licensing_information,BIS-LIC-005,Testing Laboratories,Where can I get my product tested for BIS certification?,"For applicable BIS product certification procedures, testing may need to be performed by BIS, a BIS-recognized laboratory or a BIS- empanelled laboratory, depending on the applicable...",laboratory_requirement,1,Use the laboratory information applicable to the relevant Indian Standard and certification scheme.
licensing_information,BIS-LIC-005,Testing Laboratories,Where can I get my product tested for BIS certification?,"For applicable BIS product certification procedures, testing may need to be performed by BIS, a BIS-recognized laboratory or a BIS- empanelled laboratory, depending on the applicable...",official_source,1,https://www.bis.gov.in/product- certification/product-certification-faq/?lang=en
licensing_information,BIS-LIC-006,Testing,How old can a test report be for BIS licence application?,"For Option 2 under the product certification process, BIS states that test reports should generally not be more than 90 days old, subject to the applicable detailed guidelines.",validity_days,1,90
licensing_information,BIS-LIC-006,Testing,How old can a test report be for BIS licence application?,"For Option 2 under the product certification process, BIS states that test reports should generally not be more than 90 days old, subject to the applicable detailed guidelines.",applies_to,1,Option 2
licensing_information,BIS-LIC-006,Testing,How old can a test report be for BIS licence application?,"For Option 2 under the product certification process, BIS states that test reports should generally not be more than 90 days old, subject to the applicable detailed guidelines.",official_source,1,https://www.bis.gov.in/product- certification/product-certification-faq/?lang=en
licensing_information,BIS-LIC-007,Infrastructure,What infrastructure is required for BIS certification?,"The manufacturer should analyse and document the manufacturing infrastructure required by the applicable Indian Standard. BIS also assesses manufacturing infrastructure, process controls,...",infrastructure_categories,1,Manufacturing facilities
licensing_information,BIS-LIC-007,Infrastructure,What infrastructure is required for BIS certification?,"The manufacturer should analyse and document the manufacturing infrastructure required by the applicable Indian Standard. BIS also assesses manufacturing infrastructure, process controls,...",infrastructure_categories,2,Production equipment
licensing_information,BIS-LIC-007,Infrastructure,What infrastructure is required for BIS certification?,"The manufacturer should analyse and document the manufacturing infrastructure required by the applicable Indian Standard. BIS also assesses manufacturing infrastructure, process controls,...",infrastructure_categories,3,Process-control arrangements
licensing_information,BIS-LIC-007,Infrastructure,What infrastructure is required for BIS certification?,"The manufacturer should analyse and document the manufacturing infrastructure required by the applicable Indian Standard. BIS also assesses manufacturing infrastructure, process controls,...",infrastructure_categories,4,Quality-control facilities
licensing_information,BIS-LIC-007,Infrastructure,What infrastructure is required for BIS certification?,"The manufacturer should analyse and document the manufacturing infrastructure required by the applicable Indian Standard. BIS also assesses manufacturing infrastructure, process controls,...",infrastructure_categories,5,Testing equipment
licensing_information,BIS-LIC-007,Infrastructure,What infrastructure is required for BIS certification?,"The manufacturer should analyse and document the manufacturing infrastructure required by the applicable Indian Standard. BIS also assesses manufacturing infrastructure, process controls,...",infrastructure_categories,6,Testing facilities
licensing_information,BIS-LIC-007,Infrastructure,What infrastructure is required for BIS certification?,"The manufacturer should analyse and document the manufacturing infrastructure required by the applicable Indian Standard. BIS also assesses manufacturing infrastructure, process controls,...",infrastructure_categories,7,Qualified personnel where required
licensing_information,BIS-LIC-007,Infrastructure,What infrastructure is required for BIS certification?,"The manufacturer should analyse and document the manufacturing infrastructure required by the applicable Indian Standard. BIS also assesses manufacturing infrastructure, process controls,...",infrastructure_categories,8,Product-specific manufacturing arrangements
licensing_information,BIS-LIC-007,Infrastructure,What infrastructure is required for BIS certification?,"The manufacturer should analyse and document the manufacturing infrastructure required by the applicable Indian Standard. BIS also assesses manufacturing infrastructure, process controls,...",important_note,1,Exact infrastructure and equipment requirements depend on the applicable Indian Standard and product manual.
licensing_information,BIS-LIC-007,Infrastructure,What infrastructure is required for BIS certification?,"The manufacturer should analyse and document the manufacturing infrastructure required by the applicable Indian Standard. BIS also assesses manufacturing infrastructure, process controls,...",official_source,1,https://www.bis.gov.in/apply-for-a- license/?lang=en
licensing_information,BIS-LIC-008,Product Manual,Where can I find product-specific BIS requirements?,"BIS provides product-specific technical manuals. Product manuals can include sampling guidelines, required test equipment, Scheme of Inspection and Testing, and scope-related information.",documents_available,1,Product Manual
licensing_information,BIS-LIC-008,Product Manual,Where can I find product-specific BIS requirements?,"BIS provides product-specific technical manuals. Product manuals can include sampling guidelines, required test equipment, Scheme of Inspection and Testing, and scope-related information.",documents_available,2,Sampling Guidelines
licensing_information,BIS-LIC-008,Product Manual,Where can I find product-specific BIS requirements?,"BIS provides product-specific technical manuals. Product manuals can include sampling guidelines, required test equipment, Scheme of Inspection and Testing, and scope-related information.",documents_available,3,Test Equipment Requirements
licensing_information,BIS-LIC-008,Product Manual,Where can I find product-specific BIS requirements?,"BIS provides product-specific technical manuals. Product manuals can include sampling guidelines, required test equipment, Scheme of Inspection and Testing, and scope-related information.",documents_available,4,Scheme of Inspection and Testing
licensing_information,BIS-LIC-008,Product Manual,Where can I find product-specific BIS requirements?,"BIS provides product-specific technical manuals. Product manuals can include sampling guidelines, required test equipment, Scheme of Inspection and Testing, and scope-related information.",documents_available,5,Scope Information
licensing_information,BIS-LIC-008,Product Manual,Where can I find product-specific BIS requirements?,"BIS provides product-specific technical manuals. Product manuals can include sampling guidelines, required test equipment, Scheme of Inspection and Testing, and scope-related information.",documents_available,6,Grouping Guidelines where applicable
licensing_information,BIS-LIC-008,Product Manual,Where can I find product-specific BIS requirements?,"BIS provides product-specific technical manuals. Product manuals can include sampling guidelines, required test equipment, Scheme of Inspection and Testing, and scope-related information.",official_source,1,https://www.bis.gov.in/product- certification/product-certification-faq/?lang=en
licensing_information,BIS-LIC-009,Cost,How much does BIS certification cost?,"The total cost depends on the product, certification procedure, inspection requirements, testing requirements and applicable marking fee. BIS publishes application, inspection, annual...",known_general_fees,1,[Nested Data]
licensing_information,BIS-LIC-009,Cost,How much does BIS certification cost?,"The total cost depends on the product, certification procedure, inspection requirements, testing requirements and applicable marking fee. BIS publishes application, inspection, annual...",application_fee_inr,1,1000
licensing_information,BIS-LIC-009,Cost,How much does BIS certification cost?,"The total cost depends on the product, certification procedure, inspection requirements, testing requirements and applicable marking fee. BIS publishes application, inspection, annual...",inspection_fee_per_man_day_inr,1,7000
licensing_information,BIS-LIC-009,Cost,How much does BIS certification cost?,"The total cost depends on the product, certification procedure, inspection requirements, testing requirements and applicable marking fee. BIS publishes application, inspection, annual...",annual_licence_fee_inr,1,1000
licensing_information,BIS-LIC-009,Cost,How much does BIS certification cost?,"The total cost depends on the product, certification procedure, inspection requirements, testing requirements and applicable marking fee. BIS publishes application, inspection, annual...",additional_costs,1,Testing charges
licensing_information,BIS-LIC-009,Cost,How much does BIS certification cost?,"The total cost depends on the product, certification procedure, inspection requirements, testing requirements and applicable marking fee. BIS publishes application, inspection, annual...",important_note,1,These general figures should not be treated as the complete cost for every product. Product-specific fees and current notifications must be checked.
licensing_information,BIS-LIC-009,Cost,How much does BIS certification cost?,"The total cost depends on the product, certification procedure, inspection requirements, testing requirements and applicable marking fee. BIS publishes application, inspection, annual...",official_source,1,https://www.bis.gov.in/product- certification/product-certification-faq/?lan g=en
licensing_information,BIS-LIC-009,Cost,How much does BIS certification cost?,"The total cost depends on the product, certification procedure, inspection requirements, testing requirements and applicable marking fee. BIS publishes application, inspection, annual...",additional_costs,2,Product-specific marking fee
licensing_information,BIS-LIC-009,Cost,How much does BIS certification cost?,"The total cost depends on the product, certification procedure, inspection requirements, testing requirements and applicable marking fee. BIS publishes application, inspection, annual...",important_note,2,These general figures should not be treated as the complete cost for every product. Product-specific fees and current notifications must be checked.
licensing_information,BIS-LIC-009,Cost,How much does BIS certification cost?,"The total cost depends on the product, certification procedure, inspection requirements, testing requirements and applicable marking fee. BIS publishes application, inspection, annual...",official_source,2,https://www.bis.gov.in/product- certification/product-certification-faq/?lan g=en
licensing_information,BIS-LIC-009,Cost,How much does BIS certification cost?,"The total cost depends on the product, certification procedure, inspection requirements, testing requirements and applicable marking fee. BIS publishes application, inspection, annual...",additional_costs,3,Other applicable charges
